Transactions in Date Sequence,,,,,,
Process/ Trade/,,,,,,
Settlement Transaction,,,,,,
Date Date Activity Type,Description,Quantity,Price,Accrued Interest,Amount,Currency
10/01/18 09/28/18 PURCHASED,CALL 100 NETFLIX INC COM EXP 09-28-18@377.500,11.000,0.1900,,-211.38,USD
99QANYZ5L,OPTION ROOT= NFLX CLOSING TRANSACTION,,,,,
"",UNSOLICITED ORDER EXCHANGE LISTED OPTION,,,,,
10/01/18 09/28/18 PURCHASED,CALL 100 NETFLIX INC COM EXP 09-28-18@377.500,1.000,0.1900,,-19.03,USD
99QANYZ5L,OPTION ROOT= NFLX CLOSING TRANSACTION,,,,,
"",UNSOLICITED ORDER EXCHANGE LISTED OPTION,,,,,
10/01/18 09/28/18 PURCHASED,CALL 100 NETFLIX INC COM EXP 09-28-18@377.500,1.000,0.1900,,-19.04,USD
99QANYZ5L,OPTION ROOT= NFLX EXC ON BOX EXCH CLOSING,,,,,
"",TRANSACTION UNSOLICITED ORDER EXCHANGE LISTED,,,,,
10/01/18 09/28/18 CORRECTED SELL,CALL 100 NETFLIX INC COM EXP 10-05-18@377.500,-13.000,5.4900,,"7,034.45",USD
99QAN27KC,OPTION ROOT= NFLX OPENING TRANSACTION,,,,,
"",UNSOLICITED ORDER EXCHANGE LISTED OPTION,,,,,
10/01/18 YOUR OPTION ASSIGNED,CALL 100 APPLE INC COM EXP 09-28-18@222.500,22.000,,,0.00,USD
99QANYJCU,OPTION ROOT= AAPL AAPL-CU CLOSING TRANSACTION,,,,,
10/02/18 09/28/18 SOLD,APPLE INC COM ACCT OPT ASSIGNED,"-2,200.000",222.5000,,"489,491.63",USD
AAPL,,,,,,
10/08/18 YOUR OPTION EXPIRED,NFLX 10052018 C 377. 5 CORPORATE ACTIONS -,13.000,,,0.00,USD
99QAN27KC,,,,,,
10/09/18 10/05/18 SOLD SHORT,CALL 100 NETFLIX INC COM EXP 10-26-18@377.500,-10.000,11.4400,,"11,360.59",USD
99QAN5EW6,OPTION ROOT= NFLX OPENING TRANSACTION,,,,,
"",UNSOLICITED ORDER EXCHANGE LISTED OPTION,,,,,
10/09/18 10/05/18 SOLD SHORT,CALL 100 NETFLIX INC COM EXP 10-26-18@377.500,-3.000,11.4700,,"3,417.76",USD
99QAN5EW6,OPTION ROOT= NFLX EXC ON BOX EXCH OPENING,,,,,
"",TRANSACTION UNSOLICITED ORDER EXCHANGE LISTED,,,,,
10/12/18 10/10/18 PURCHASED,PETROLEO BRASILEIRO SA PETROBRAS SPONSORED ADR,"6,600.000",15.1517,,"-100,201.22",USD
PBR,AVERAGE UNIT PRICE TRANSACTION YOUR BROKER,,,,,
"",ACTED AS AGENT,,,,,
10/16/18 10/15/18 PURCHASED,CALL 100 NETFLIX INC COM EXP 10-26-18@377.500,13.000,3.8800,,"-5,146.45",USD
99QAN5EW6,OPTION ROOT= NFLX CLOSING TRANSACTION,,,,,
"",UNSOLICITED ORDER EXCHANGE LISTED OPTION,,,,,
10/18/18 10/16/18 SOLD,NETFLIX INC COM AVERAGE UNIT PRICE TRANSACTION,"-1,300.000",394.0000,,"512,091.34",USD
Transactions in Date Sequence (continued),,,,,,
Process/ Trade/,,,,,,
Settlement Transaction,,,,,,
Date Date Activity Type,Description,Quantity,Price,Accrued Interest,Amount,Currency
10/19/18 10/17/18 SOLD,COSAN LUXEMBOURG S A SR NT REG S,"-200,000.000",100.9000,"3,461.11","205,261.11",USD
CZZ4372852,ISIN#USL20041AD89 7.000% 01/20/27 B/E DTD 06/20/16,,,,,
"",YLD6.853 TO MAT AS OF 10/17/2018,,,,,
10/19/18 10/17/18 SOLD,BRF SA SR NT REG S ISIN#USP1905CAE05 4.750%,"-200,000.000",91.1000,"3,879.17","186,079.17",USD
BRFS4126891,05/22/24 B/E DTD 05/22/14 YLD6.682 TO MAT AS OF,,,,,
"",10/17/2018,,,,,
10/19/18 10/17/18 PURCHASED,APPLE INC COM AVERAGE UNIT PRICE TRANSACTION,"2,200.000",221.0807,,"-486,479.54",USD
AAPL,YOUR BROKER ACTED AS AGENT,,,,,
10/19/18 10/17/18 SOLD,FIBRIA OVERSEAS FIN LTD GTD NT 5.500% 01/17/27 B/E,"-200,000.000",100.1500,"2,811.11","203,111.11",USD
FBR4444442,DTD 01/17/17 YLD5.476 TO MAT AS OF 10/17/2018,,,,,
10/22/18 10/19/18 INT. CHARGED ON DEBIT,MARGIN INTEREST FOR  5 DEBIT DAYS AV BAL,,,,-297.10,USD
BALANCES,534773.00 RATE  4.000 09-20-18 TO 09-24-18,,,,,
USD999997,,,,,,
10/22/18 10/19/18 INT. CHARGED ON DEBIT,MARGIN INTEREST FOR  4 DEBIT DAYS AV BAL,,,,-80.48,USD
BALANCES,170417.78 RATE  4.250 09-28-18 TO 10-01-18,,,,,
USD999997,,,,,,
