Transactions in Date Sequence (continued),,,,,,
Process/ Trade/,,,,,,
Settlement Transaction,,,,,,
Date Date Activity Type,Description,Quantity,Price,Accrued Interest,Amount,Currency
"01/05/22 01/03/22 PURCHASED,TESLA INC COM UNSOLICITED ORDER AVERAGE UNIT,22.0000,""1,129.7241"",,""-24,955.93"",USD"
TSLA,PRICE TRANSACTION YOUR BROKER ACTED AS,,,,,
,AGENT,,,,,
"01/06/22 01/04/22 PURCHASED,TESLA INC COM UNSOLICITED ORDER AVERAGE UNIT,21.0000,""1,196.7271"",,""-25,233.27"",USD"
TSLA,PRICE TRANSACTION YOUR BROKER ACTED AS,,,,,
,AGENT,,,,,
"01/06/22 01/05/22 SOLD SHORT,CALL 100 ADVANCED MICRO DEVICES INC COM EXP,-10.0000,2.5900,,""2,487.77"",USD"
99QAXXGHL,02-11-22@165.000 OPTION ROOT= AMD OPENING,,,,,
,TRANSACTION UNSOLICITED ORDER EXCHANGE,,,,,
,LISTED,,,,,
"01/06/22 01/05/22 SOLD SHORT,PUT 100 TESLA INC EXP 02-11-22 @890 OPENING,-4.0000,13.9000,,""5,457.88"",USD"
99QAXX0P5,TRANSACTION UNSOLICITED ORDER EXCHANGE,,,,,
,LISTED OPTION AVERAGE UNIT PRICE TRANSACTION,,,,,
"01/06/22 01/05/22 PURCHASED,PUT 100 TESLA INC EXP 02-11-22 @955 OPENING,2.0000,36.7400,,""-7,450.04"",USD"
99QAXX0QI,TRANSACTION UNSOLICITED ORDER EXCHANGE,,,,,
,LISTED OPTION AVERAGE UNIT PRICE TRANSACTION,,,,,
"01/06/22 01/05/22 SOLD SHORT,PUT 100 TESLA INC EXP 02-11-22 @1085 OPENING,-2.0000,86.9000,,""17,277.87"",USD"
99QAXX0Q8,TRANSACTION UNSOLICITED ORDER EXCHANGE,,,,,
,LISTED OPTION AVERAGE UNIT PRICE TRANSACTION,,,,,
"01/06/22 01/05/22 SOLD SHORT,PUT 100 ADVANCED MICRO DEVICES INC COM EXP,-10.0000,1.7900,,""1,687.78"",USD"
99QAXX49V,02-11-22@115.000 OPTION ROOT= AMD OPENING,,,,,
,TRANSACTION UNSOLICITED ORDER EXCHANGE,,,,,
,LISTED,,,,,
"01/06/22 01/05/22 SOLD SHORT,CALL 100 TESLA INC EXP 02-11-22 @1390 OPENING,-4.0000,25.8000,,""10,217.85"",USD"
99QAXYF4S,TRANSACTION UNSOLICITED ORDER EXCHANGE,,,,,
,LISTED OPTION AVERAGE UNIT PRICE TRANSACTION,,,,,
"01/07/22 01/06/22 PURCHASED,PUT 100 TESLA INC EXP 01-14-22 @965 OPENING,2.0000,13.4500,,""-2,792.04"",USD"
99QAXT9GR,TRANSACTION UNSOLICITED ORDER EXCHANGE,,,,,
,LISTED OPTION AVERAGE UNIT PRICE TRANSACTION,,,,,
